file,class,type,cbo,lcom
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\ConsoleAppenderAnsiStyleLayoutMain.java,org.apache.logging.log4j.core.appender.ConsoleAppenderAnsiStyleLayoutMain,class,4,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\main\java\org\apache\logging\log4j\core\test\net\ssl\TlsSyslogTestUtil.java,org.apache.logging.log4j.core.test.net.ssl.TlsSyslogTestUtil,class,4,10
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\jackson\Initializers.java,org.apache.logging.log4j.core.jackson.Initializers$SetupContextInitializer,innerclass,7,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\internal\map\UnmodifiableArrayBackedMap.java,org.apache.logging.log4j.internal.map.UnmodifiableArrayBackedMap$UnmodifiableEntryIterator,innerclass,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\UuidUtil.java,org.apache.logging.log4j.core.util.UuidUtil,class,5,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\config\plugins\validation\validators\ValidatingPluginWithFailoverTest.java,org.apache.logging.log4j.core.config.plugins.validation.validators.ValidatingPluginWithFailoverTest,class,12,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\CronRolloverApp.java,org.apache.logging.log4j.core.CronRolloverApp,class,2,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-layout-template-json-test\src\test\java\org\apache\logging\log4j\layout\template\json\JsonTemplateLayoutTest.java,org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutTest$JsonAcceptingTcpServer,innerclass,3,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\status\StatusData.java,org.apache.logging.log4j.status.StatusData,class,5,13
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\filter\BurstFilterLogDelayTest.java,org.apache.logging.log4j.core.filter.BurstFilterLogDelayTest,class,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-spring-boot\src\main\java\org\apache\logging\log4j\spring\boot\Log4j2SpringBootLoggingSystem.java,org.apache.logging.log4j.spring.boot.Log4j2SpringBootLoggingSystem$Factory,innerclass,4,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\spi\LoggerContextKey.java,org.apache.logging.log4j.spi.LoggerContextKey,class,2,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\jmx\LoggerContextAdminMBean.java,org.apache.logging.log4j.core.jmx.LoggerContextAdminMBean,interface,0,66
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\rolling\RollingAppenderSizeMaxWidthTest.java,org.apache.logging.log4j.core.appender.rolling.RollingAppenderSizeMaxWidthTest,class,19,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api-test\src\test\java\org\apache\logging\log4j\util\PropertiesPropertySourceTest.java,org.apache.logging.log4j.util.PropertiesPropertySourceTest,class,4,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\pattern\NamedInstantPattern.java,org.apache.logging.log4j.core.pattern.NamedInstantPattern,enum,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-perf-test\src\main\java\org\apache\logging\log4j\perf\jmh\AbstractStringLayoutStringEncodingBenchmark.java,org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark$EncodeLayout,innerclass,6,6
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-perf-test\src\main\java\org\apache\logging\log4j\perf\nogc\ParameterizedMessage.java,org.apache.logging.log4j.perf.nogc.ParameterizedMessage,class,10,579
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-to-slf4j\src\test\java\org\apache\logging\slf4j\LoggerContextResolver.java,org.apache.logging.slf4j.LoggerContextResolver$LoggerContextHolder,innerclass,8,2
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\ContextDataInjector.java,org.apache.logging.log4j.core.ContextDataInjector,interface,4,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api-test\src\test\java\org\apache\logging\log4j\AbstractLoggerTest.java,org.apache.logging.log4j.AbstractLoggerTest$CountingLogger,innerclass,10,233
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\util\SortedArrayStringMap.java,org.apache.logging.log4j.util.SortedArrayStringMap,class,10,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\pattern\ThreadIdPatternConverter.java,org.apache.logging.log4j.core.pattern.ThreadIdPatternConverter,class,6,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\Closer.java,org.apache.logging.log4j.core.util.Closer,class,1,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\message\ParameterizedMessage.java,org.apache.logging.log4j.message.ParameterizedMessage$FormatBufferHolder,innerclass,0,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\layout\XmlLayoutTest.java,org.apache.logging.log4j.core.layout.XmlLayoutTest,class,24,225
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\appender\ConsoleAppenderJira1002ShortThrowableLayoutMain.java,org.apache.logging.log4j.core.appender.ConsoleAppenderJira1002ShortThrowableLayoutMain,class,1,0
